Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
269.130458155339,0,0,0,0,0,0,0,0,1238003.1,0,0,0,0,0,0,0,0,0
269.131292841791,2689920.3,2916253.3,2716456.8,6632326.5,7318786,7856353,6479653,8165334,7617523.5,7208623.5,9394881,5091959,7985619.5,6161263,5915523,6583421,8261585,7302122.5
269.138732447793,0,2360224.8,0,0,1472773.4,0,1511208.1,0,0,1345715,0,0,0,0,0,2270336.5,1625044.4,1531885.8
269.139528369519,10577796,16328609,7345964.5,8765322,10695942,8750309,7439144.5,10837978,8637431,8294067.5,7978692.5,9351803,7315927.5,11472755,11874183,14918785,11103189,9415662
269.332095421875,0,0,0,0,0,0,0,0,1374990.4,0,0,0,0,0,0,0,0,0
269.48269276098,0,0,0,1265059.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269.813758658811,0,0,0,1242551.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.056380432442,0,0,0,0,0,0,0,0,0,0,0,0,0,1233943.5,0,0,0,0
270.056569136793,1421074.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.061770711558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247381.8
270.061953108696,0,0,0,0,0,0,0,0,0,0,0,0,0,1846042.1,0,1275050.1,0,0
270.062091520277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886850.8,0
270.098339403959,0,0,0,0,0,0,0,0,0,0,0,0,1263248.8,1273002.8,0,1542715,1346451.6,0
270.123270539497,0,0,0,0,0,0,0,0,1275956.6,0,0,0,0,0,0,0,0,0
270.165615842824,1525570.1,0,0,0,0,0,0,1563539,0,0,0,0,0,0,1882192,0,0,0
270.207524191855,0,0,0,0,0,0,0,1272997,0,0,0,0,0,0,0,0,0,0
270.33227233417,0,0,0,0,0,0,0,0,0,1252940,0,0,0,0,0,0,0,0
270.479880943921,0,0,0,0,0,0,0,0,0,0,0,0,1275456.4,0,0,0,0,0
270.513710931171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363029.3,0
270.537075848894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285216.1,0
270.797254483709,0,0,1814039.9,0,0,1385933.1,0,0,0,0,0,0,0,0,2443881.8,0,0,0
